                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    119,                0.43939,                0.61329,                0.91594,                0.98305,                0.85476,                0.91442,                0.80449,                0.58863,                0.64049,                0.88649,              0.0012775,              0.0012775,              0.0012775
                    120,                0.44173,                0.55013,                0.93114,                0.98955,                0.85851,                0.93306,                0.82534,                0.52117,                0.63846,                0.84895,              0.0012742,              0.0012742,              0.0012742
                    121,                 0.4283,                0.55384,                 0.9111,                0.98298,                0.90142,                0.94452,                0.85435,                0.52616,                0.61434,                0.86747,              0.0012709,              0.0012709,              0.0012709
                    122,                0.44628,                0.59604,                0.93308,                0.97661,                0.90108,                0.94868,                0.84505,                0.54009,                0.61351,                0.86385,              0.0012676,              0.0012676,              0.0012676
                    123,                0.42411,                0.56951,                0.91686,                0.96899,                0.86263,                0.93283,                0.82086,                0.58139,                0.72348,                0.88556,              0.0012643,              0.0012643,              0.0012643
                    124,                0.39638,                0.58172,                0.93201,                0.99537,                0.86391,                0.91387,                0.79909,                0.58188,                0.74934,                0.87134,               0.001261,               0.001261,               0.001261
                    125,                0.40126,                0.52427,                0.93319,                      1,                0.90101,                0.94182,                0.82277,                0.56683,                  0.724,                0.85887,              0.0012577,              0.0012577,              0.0012577
                    126,                0.41969,                0.57708,                0.92486,                0.99132,                0.87075,                0.93204,                0.79852,                0.63581,                0.68218,                0.88423,              0.0012544,              0.0012544,              0.0012544
                    127,                0.41444,                0.57417,                0.93594,                0.99316,                0.86453,                0.93562,                0.80895,                0.61878,                0.72806,                0.87465,              0.0012511,              0.0012511,              0.0012511
                    128,                0.41495,                0.54011,                0.92858,                0.97963,                0.85476,                 0.9442,                0.82757,                0.60253,                0.62835,                0.87288,              0.0012478,              0.0012478,              0.0012478
