                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    112,                0.37271,                0.37661,                 1.5373,                0.86346,                0.84972,                0.91369,                0.86652,                0.34355,                0.55954,                 1.5678,              0.0013617,              0.0013617,              0.0013617
                    113,                0.38667,                 0.4171,                 1.6541,                0.92132,                 0.8564,                0.92229,                0.88363,                0.34917,                0.55395,                 1.5846,              0.0013589,              0.0013589,              0.0013589
                    114,                0.36533,                0.39666,                 1.4725,                0.93004,                0.86364,                0.89703,                  0.854,                0.34666,                0.59681,                 1.5767,              0.0013562,              0.0013562,              0.0013562
                    115,                0.38589,                0.39218,                 1.5219,                0.92572,                0.86041,                0.87785,                0.82648,                0.38411,                0.66469,                  1.631,              0.0013534,              0.0013534,              0.0013534
                    116,                0.37852,                0.38412,                 1.5033,                0.93481,                0.86364,                0.88443,                 0.8411,                0.37018,                0.69182,                 1.8409,              0.0013507,              0.0013507,              0.0013507
                    117,                0.37944,                0.38493,                 1.5748,                0.93781,                0.86364,                0.88845,                0.85136,                0.35549,                0.61833,                 1.8212,              0.0013479,              0.0013479,              0.0013479
                    118,                 0.3795,                0.42198,                 1.5232,                0.93913,                0.86364,                0.89047,                 0.8579,                0.34476,                0.56876,                 1.6788,              0.0013452,              0.0013452,              0.0013452
                    119,                0.38149,                0.39668,                  1.584,                 0.9394,                0.86364,                0.88904,                  0.858,                0.34613,                0.56416,                 1.5464,              0.0013424,              0.0013424,              0.0013424
                    120,                0.40846,                0.38784,                 1.5549,                0.93805,                0.86364,                0.88172,                0.84529,                0.33823,                0.55141,                 1.4444,              0.0013397,              0.0013397,              0.0013397
                    121,                0.36774,                0.37599,                  1.489,                 0.9348,                0.86364,                0.88203,                0.84835,                0.33856,                0.57347,                 1.4839,              0.0013369,              0.0013369,              0.0013369
                    122,                0.39175,                0.39678,                 1.5108,                0.91754,                0.86364,                0.88497,                 0.8574,                0.31403,                0.59691,                 1.5116,              0.0013342,              0.0013342,              0.0013342
                    123,                0.37811,                0.40054,                 1.5082,                0.94185,                0.90909,                0.87532,                0.84616,                0.31719,                0.55131,                 1.5615,              0.0013314,              0.0013314,              0.0013314
                    124,                0.40326,                 0.4224,                 1.6101,                0.94334,                0.90909,                0.87617,                0.84524,                0.32708,                0.54243,                 1.6684,              0.0013287,              0.0013287,              0.0013287
                    125,                0.40085,                0.37864,                 1.5298,                0.94414,                0.90909,                0.87572,                 0.8452,                0.32713,                0.52893,                  1.702,              0.0013259,              0.0013259,              0.0013259
                    126,                0.36237,                0.41294,                  1.587,                0.94388,                0.90909,                0.88901,                0.85796,                0.32272,                 0.4929,                 1.6725,              0.0013232,              0.0013232,              0.0013232
                    127,                0.38651,                0.38742,                 1.5857,                0.94406,                0.90909,                0.88388,                0.84328,                0.33474,                0.49853,                 1.4189,              0.0013204,              0.0013204,              0.0013204
                    128,                0.37321,                0.37287,                 1.5305,                0.94914,                0.90207,                0.90194,                0.84852,                0.35761,                0.49676,                  1.219,              0.0013177,              0.0013177,              0.0013177
                    129,                0.39801,                0.40361,                 1.5311,                0.93642,                0.86364,                0.89327,                0.84602,                0.34586,                0.47894,                 1.2589,              0.0013149,              0.0013149,              0.0013149
                    130,                 0.3888,                0.41164,                 1.5146,                0.93676,                0.86364,                0.89697,                 0.8467,                 0.3712,                0.51357,                 1.2352,              0.0013122,              0.0013122,              0.0013122
                    131,                0.37223,                0.39222,                 1.4709,                0.93597,                0.86364,                0.89649,                0.85523,                0.37186,                0.53417,                 1.3214,              0.0013094,              0.0013094,              0.0013094
                    132,                0.40345,                0.40461,                 1.6424,                0.93372,                0.86364,                0.89733,                0.86193,                0.35472,                0.59639,                 1.4452,              0.0013067,              0.0013067,              0.0013067
                    133,                0.37519,                0.36277,                  1.584,                0.92772,                0.86364,                0.89191,                0.85891,                0.36047,                0.66352,                 1.4022,              0.0013039,              0.0013039,              0.0013039
